Strike,Open,High,Low,Latest,Change,Bid,Ask,Volume,"Open Int",Premium,"Last Trade",Type
112.75C,0,2.03125,2.03125,2.03125,0.140625,2.28125,2.375,,,2031.25,12/10/25,Call
113.00C,0,1.78125,1.78125,1.78125,0.125,2.03125,2.140625,,,1781.25,12/10/25,Call
113.25C,0,1.53125,1.53125,1.53125,0.109375,1.78125,1.890625,,,1531.25,12/10/25,Call
113.50C,0,1.296875,1.296875,1.296875,0.125,1.53125,1.640625,,,1296.875,12/10/25,Call
113.75C,0,1.046875,1.046875,1.046875,0.09375,1.28125,1.390625,,,1046.875,12/10/25,Call
114.00C,0,0.8125,0.8125,0.8125,0.078125,1.03125,1.140625,,,812.5,12/10/25,Call
114.25C,0,0.578125,0.578125,0.578125,0.03125,0.796875,0.90625,,,578.125,12/10/25,Call
114.50C,0,0.40625,0.40625,0.40625,0.03125,0.5625,0.671875,,,406.25,12/10/25,Call
114.75C,0,0.234375,0.234375,0.234375,-0.015625,0.34375,0.46875,,,234.375,12/10/25,Call
115.00C,0,0.109375,0.109375,0.109375,-0.046875,0.171875,0.3125,,,109.375,12/10/25,Call
115.25C,0,0.0625,0.0625,0.0625,-0.03125,0.078125,0.1875,,,62.5,12/10/25,Call
115.50C,0,0.015625,0.015625,0.015625,-0.03125,0.007,0.109375,,,15.625,12/10/25,Call
115.75C,0,0.015625,0.001,0.015625,-0.015625,0,0.0625,,,15.625,12/10/25,Call
116.00C,0,0.015625,0.001,0.015625,0,0,0.046875,,,15.625,12/10/25,Call
116.25C,0,0.015625,0.001,0.015625,0.014625,0,0.046875,,,15.625,12/10/25,Call
116.50C,0,0.015625,0.001,0.015625,0.014625,0,0.046875,,,15.625,12/10/25,Call
116.75C,0,0.015625,0.001,0.015625,0.014625,0,0.046875,,,15.625,12/10/25,Call
117.00C,0,0.015625,0.001,0.015625,0.014625,0,0.03125,,,15.625,12/10/25,Call
117.25C,0,0.015625,0.001,0.015625,0.014625,0,0.03125,,,15.625,12/10/25,Call
117.50C,0,0.015625,0.001,0.015625,0.014625,0,0.03125,,,15.625,12/10/25,Call
112.75P,0,0.015625,0.001,0.015625,0.014625,0,0.046875,,,15.625,12/10/25,Put
113.00P,0,0.015625,0.001,0.015625,0,0,0.046875,,,15.625,12/10/25,Put
113.25P,0,0.015625,0.001,0.015625,-0.015625,0,0.046875,,,15.625,12/10/25,Put
113.50P,0,0.015625,0.015625,0.015625,-0.015625,0,0.046875,,,15.625,12/10/25,Put
113.75P,0,0.015625,0.015625,0.015625,-0.046875,0,0.046875,,,15.625,12/10/25,Put
114.00P,0,0.03125,0.03125,0.03125,-0.0625,0,0.046875,,,31.25,12/10/25,Put
114.25P,0,0.046875,0.046875,0.046875,-0.109375,0,0.0625,,,46.875,12/10/25,Put
114.50P,0,0.125,0.125,0.125,-0.109375,0,0.078125,,,125,12/10/25,Put
114.75P,0,0.203125,0.203125,0.203125,-0.15625,0.015625,0.125,,,203.125,12/10/25,Put
115.00P,0,0.328125,0.328125,0.328125,-0.1875,0.109375,0.21875,,,328.125,12/10/25,Put
115.25P,0,0.53125,0.53125,0.53125,-0.171875,0.234375,0.359375,,,531.25,12/10/25,Put
115.50P,0,0.734375,0.734375,0.734375,-0.171875,0.421875,0.53125,,,734.375,12/10/25,Put
115.75P,0,0.96875,0.96875,0.96875,-0.171875,0.640625,0.75,,,968.75,12/10/25,Put
116.00P,0,1.21875,1.21875,1.21875,-0.15625,0.875,0.984375,,,1218.75,12/10/25,Put
116.25P,0,1.46875,1.46875,1.46875,-0.140625,1.125,1.234375,,,1468.75,12/10/25,Put
116.50P,0,1.71875,1.71875,1.71875,-0.140625,1.375,1.46875,,,1718.75,12/10/25,Put
116.75P,0,1.96875,1.96875,1.96875,-0.140625,1.625,1.71875,,,1968.75,12/10/25,Put
117.00P,0,2.21875,2.21875,2.21875,-0.140625,1.875,1.96875,,,2218.75,12/10/25,Put
117.25P,0,2.46875,2.46875,2.46875,-0.140625,2.125,2.21875,,,2468.75,12/10/25,Put
117.50P,0,2.71875,2.71875,2.71875,-0.140625,2.375,2.46875,,,2718.75,12/10/25,Put
"Downloaded from Barchart.com as of 12-10-2025 09:37pm CST"
